Version               : 0.3                  
System                : Sunbeam              
Analysis Type         : Area                 
Current time          : 19-Feb-2021 19:22:52 



Motion      : 1 
  Name      : Azimuth 
  Method    : Step    
  Minimum   : -180 
  Maximum   : 180 
  Step      : 5 
Motion      : 2 
  Name      : Elevation 
  Method    : Step    
  Minimum   : -90 
  Maximum   : 90  
  Step      : 5 
: END 

Record count :  2701 
Azimuth    Elevation Force(X)           Force(Y)           Force(Z)           
   degrees degrees                m^2                m^2                m^2 
---------- ------- ------------------ ------------------ ------------------ 
   -155.00    5.00  -6.58690252649695 -68.23468106181156  31.81835433088658 
   -155.00   10.00 -26.14747040585370 -134.39608586797462  62.66992406629335 
   -155.00   15.00 -58.08736568118093 -196.47393361274018  91.61729987145753 
   -155.00   20.00 -101.43611079690470 -252.58202030529014 117.78093038061816 
   -155.00   25.00 -154.87657606820716 -301.01553012353315 140.36584692019019 
   -155.00   30.00 -216.78500000000003 -340.30283538018057 158.68581822963802 
   -155.00   35.00 -285.28032645828978 -369.25021118534477 172.18420125107681 
   -155.00   40.00 -358.28135960894895 -386.97810617326468 180.45085444691148 
   -155.00   45.00 -433.57000000000016 -392.94786722548048 183.23459974291512 
   -155.00   50.00 -508.85864039105104 -386.97810617326473 180.45085444691151 
   -155.00   55.00 -581.85967354171032 -369.25021118534477 172.18420125107681 
   -155.00   60.00 -650.35500000000002 -340.30283538018057 158.68581822963802 
   -155.00   65.00 -712.26342393179289 -301.01553012353321 140.36584692019022 
   -155.00   70.00 -765.70388920309540 -252.58202030529014 117.78093038061816 
   -155.00   75.00 -809.05263431881917 -196.47393361274018  91.61729987145753 
   -155.00   80.00 -840.99252959414639 -134.39608586797462  62.66992406629335 
   -155.00   85.00 -860.55309747350316 -68.23468106181156  31.81835433088658 
   -155.00   90.00 -867.14000000000010  -0.00000000000000   0.00000000000000 
   -150.00  -90.00 -494.86000000000001   0.00000000000000  -0.00000000000000 
   -150.00  -85.00 -491.10098232781070  37.20944710083511 -21.48288430006429 
   -150.00  -80.00 -479.93814516105726  73.28830398040007 -42.31302203153511 
   -150.00  -75.00 -461.71066565838368 107.14033282919181 -61.85749999999999 
   -150.00  -70.00 -436.97237656092881 137.73695688059294 -79.52246913237022 
   -150.00  -65.00 -406.47493826474039 164.14851319544042 -94.77118828046437 
   -150.00  -60.00 -371.14499999999998 185.57249999999999 -107.14033282919182 
   -150.00  -55.00 -332.05604406307026 201.35796029627554 -116.25407258052866 
   -150.00  -50.00 -290.39576860012858 211.02526086099300 -121.83549116390532 
   -150.00  -45.00 -247.43000000000006 214.28066565838370 -123.71500000000003 
   -150.00  -40.00 -204.46423139987138 211.02526086099297 -121.83549116390530 
   -150.00  -35.00 -162.80395593692975 201.35796029627551 -116.25407258052864 
   -150.00  -30.00 -123.71500000000000 185.57249999999999 -107.14033282919182 
   -150.00  -25.00 -88.38506173525958 164.14851319544042 -94.77118828046437 
   -150.00  -20.00 -57.88762343907126 137.73695688059294 -79.52246913237022 
   -150.00  -15.00 -33.14933434161634 107.14033282919181 -61.85749999999999 
   -150.00  -10.00 -14.92185483894268  73.28830398040006 -42.31302203153510 
   -150.00   -5.00  -3.75901767218936  37.20944710083511 -21.48288430006429 
   -150.00    0.00  -0.00000000000000  -0.00000000000000   0.00000000000000 
   -150.00    5.00  -6.58690252649695 -65.20187519504132  37.64432019552549 
   -150.00   10.00 -26.14747040585370 -128.42262440602215  74.14483677085509 
   -150.00   15.00 -58.08736568118093 -187.74131715940953 108.39250000000001 
   -150.00   20.00 -101.43611079690470 -241.35558499259866 139.34671196589645 
   -150.00   25.00 -154.87657606820716 -287.63638550760658 166.06694460154765 
   -150.00   30.00 -216.78500000000003 -325.17750000000001 187.74131715940953 
   -150.00   35.00 -285.28032645828978 -352.83826070264797 203.71126479707317 
   -150.00   40.00 -358.28135960894895 -369.77820939862073 213.49154873675150 
   -150.00   45.00 -433.57000000000016 -375.48263431881918 216.78500000000008 
   -150.00   50.00 -508.85864039105104 -369.77820939862079 213.49154873675153 
   -150.00   55.00 -581.85967354171032 -352.83826070264797 203.71126479707317 
   -150.00   60.00 -650.35500000000002 -325.17750000000001 187.74131715940953 
   -150.00   65.00 -712.26342393179289 -287.63638550760663 166.06694460154768 
   -150.00   70.00 -765.70388920309540 -241.35558499259866 139.34671196589645 
   -150.00   75.00 -809.05263431881917 -187.74131715940953 108.39250000000001 
   -150.00   80.00 -840.99252959414639 -128.42262440602215  74.14483677085509 
   -150.00   85.00 -860.55309747350316 -65.20187519504132  37.64432019552549 
   -150.00   90.00 -867.14000000000010  -0.00000000000000   0.00000000000000 
   -145.00  -90.00 -494.86000000000001   0.00000000000000  -0.00000000000000 
   -145.00  -85.00 -491.10098232781070  35.19549718324310 -24.64415243874542 
   -145.00  -80.00 -479.93814516105726  69.32159699435427 -48.53950477618241 
   -145.00  -75.00 -461.71066565838368 101.34139515921261 -70.96000882316966 
   -145.00  -70.00 -436.97237656092881 130.28198631337864 -91.22442890956194 
   -145.00  -65.00 -406.47493826474039 155.26402523927865 -108.71704088532555 
   -145.00  -60.00 -371.14499999999998 175.52844532567093 -122.90634058726566 
   -145.00  -55.00 -332.05604406307026 190.45952242252176 -133.36119332407097 
   -145.00  -50.00 -290.39576860012858 199.60358330773286 -139.76393368574435 
   -145.00  -45.00 -247.43000000000006 202.68279031842530 -141.92001764633935 
   -145.00  -40.00 -204.46423139987138 199.60358330773286 -139.76393368574432 
   -145.00  -35.00 -162.80395593692975 190.45952242252173 -133.36119332407094 
   -145.00  -30.00 -123.71500000000000 175.52844532567093 -122.90634058726566 
   -145.00  -25.00 -88.38506173525958 155.26402523927865 -108.71704088532555 
   -145.00  -20.00 -57.88762343907126 130.28198631337864 -91.22442890956194 
