Sail.SunInertial.VMAG     Sail.DeepSpaceSail_ForceModel.AccelerationX   Sail.DeepSpaceSail_ForceModel.AccelerationY   Sail.DeepSpaceSail_ForceModel.AccelerationZ   
23.89581698220357         2.742917753922656e-06                         5.34122494059319e-07                          -1.362246968177749e-07                        
22.92852445266017         2.502588845890216e-06                         6.837043079006886e-07                         -3.159789155435233e-08                        
22.58492696389666         2.418071763033969e-06                         7.306020386617385e-07                         2.494999308361332e-09                         
22.27340758287264         2.341279543920985e-06                         7.705321476771575e-07                         3.211603935412639e-08                         
21.45017108926749         2.140743092880256e-06                         8.651485955815579e-07                         1.049262739336621e-07                         
20.70125157685621         1.961246720644562e-06                         9.389673522544662e-07                         1.649847630535733e-07                         
20.42609536177896         1.895911212538946e-06                         9.635042240319876e-07                         1.857485839766217e-07                         
19.77170480904719         1.739893203335374e-06                         1.01698210419289e-06                          2.327014285762379e-07                         
19.17960988678342         1.599283509776612e-06                         1.060276640790258e-06                         2.727230312365055e-07                         
18.64604335141438         1.471960360824903e-06                         1.096043057868998e-06                         3.073580341909487e-07                         
18.43455416931045         1.420951815513668e-06                         1.109580688501193e-06                         3.208584581614679e-07                         
18.23497986622546         1.371949531382574e-06                         1.122116864042226e-06                         3.33547950268805e-07                          
17.80175891550712         1.263399483029657e-06                         1.148891249959074e-06                         3.61200161434187e-07                          
17.41925427232814         1.163468375205297e-06                         1.172715934786757e-06                         3.86283317440499e-07                          
17.0857829407431          1.070847498593351e-06                         1.194559324448582e-06                         4.094328556677528e-07                         
16.86573604681683         1.005027758648604e-06                         1.210219817777429e-06                         4.259533303053734e-07                         
16.68081218813206         9.446221780922448e-07                         1.224766917000411e-06                         4.411335676256977e-07                         
16.463325309524           8.646407176722003e-07                         1.244744264935044e-06                         4.615831066474712e-07                         
16.29131261591728         7.884605569246543e-07                         1.264866320601266e-06                         4.815908724422895e-07                         
16.1644936598759          7.152434874076045e-07                         1.28554018550635e-06                          5.014642270424285e-07                         
16.08282199721608         6.441961529763088e-07                         1.307122982706774e-06                         5.214812659207928e-07                         
16.0552967234834          6.017137673774891e-07                         1.320827844448717e-06                         5.338325170545706e-07                         
16.04448805773537         5.588706568341326e-07                         1.335204587226587e-06                         5.465183153646478e-07                         
16.06357770402796         4.894419071719781e-07                         1.359924663099847e-06                         5.677633512827069e-07                         
16.12866654763696         4.197307179621315e-07                         1.386518112213274e-06                         5.899535013840929e-07                         
16.24058615744157         3.489137268885167e-07                         1.41527479299312e-06                          6.133429508686261e-07                         
