Sail.ElapsedDays          Sail.Sun.TA               
1335.152281580627         262.4753987314613         
1345.152281580627         270.407554833409          
1351.657857339513         276.1559781695859         
1356.813660957861         281.0811757739245         
1363.552570165903         288.0492503687882         
1371.159419493099         296.6887690785018         
1374.416775395326         300.6490037201743         
1377.213103256629         304.175689620054          
1380.606868251871         308.6120905507253         
1383.921265051144         313.1096911302645         
1386.908300281928         317.2992007308328         
1391.585987521827         324.1079105641141         
1396.353579419785         331.3339107817913         
1399.591800309881         336.3859936378418         
1402.968938765382         341.7571037027591         
1406.926877031186         348.1529545925644         
1414.938048483313         1.249898082653715         
1421.712697725652         12.23205498950794         
1430.936016414849         26.61324721658963         
1440.156368061351         39.97855694682004         
1450.156368061351         53.1358353405436          
1453.880919216161         57.67608198329476         
1457.62012941184          62.04225064007108         
1467.62012941184          72.81927756273558         
1473.19550685924          78.29852190064399         
1483.19550685924          87.27081636684757         
1490.287060214639         93.03567389513441         
1500.287060214639         100.4298272165453         
1508.050043430474         105.6512831043034         
1518.050043430474         111.804917598089          
1528.050043430474         117.4077514619555         
1538.050043430474         122.5466052692472         
1548.050043430474         127.2939941969897         
1551.836769964091         129.0025275772165         
1555.389253872334         130.5649102489429         
1565.389253872334         134.7715376030422         
1575.389253872334         138.7297484295546         
1579.318605607685         140.2253778029003         
1589.318605607685         143.8979009998426         
1599.318605607685         147.4007924726936         
1609.318605607685         150.7583108572895         
1613.60331239102          152.1576252638476         
1617.844711905            153.5217066412394         
1627.844711905            156.6621547098992         
1637.844711905            159.7084129906591         
1647.844711905            162.6737548363819         
1655.393790004669         164.8659083732272         
1662.589417946398         166.922897597317          
1672.589417946398         169.7355309123665         
1682.589417946398         172.502558326066          
1692.589417946398         175.2321777491182         
1702.589417946398         177.9321754301812         
1708.669531289528         179.5625354792676         
1714.811945833619         181.2028475033152         
1724.811945833619         183.8628351489853         
1734.811945833619         186.5162019454899         
1744.811945833619         189.1705603866512         
1754.811945833619         191.8340037687794         
1764.811945833619         194.5152342785971         
1774.811945833619         197.2238482297332         
1784.811945833619         199.9706217672152         
1794.811945833619         202.7675349117736         
1804.811945833619         205.628134763879          
1814.811945833619         208.5690333333543         
1824.811945833619         211.6100681465109         
1834.811945833619         214.7752434963551         
1844.811945833619         218.0938631112723         
1854.811945833619         221.6021400259348         
1864.811945833619         225.3455149736367         
1874.811945833619         229.3817382908702         
1884.811945833619         233.7851201153798         
1894.811945833619         238.6503016479477         
1904.811945833619         244.1020929457401         
1914.811945833619         250.3080695867977         
1921.121598407244         254.7100426114149         
1926.873608579455         259.1176677696745         
1936.873608579455         267.868663804793          
1946.873608579455         278.346254943758          
1949.069437820744         280.9236398083353         
1956.324643249693         290.257351768085          
1958.032914760308         292.6521534359033         
1963.964338918882         301.6016525494234         
1965.667763970643         304.3618306333768         
1967.329068736126         307.1379181726289         
1971.901475348412         315.2124040062176         
1977.557224622458         326.0661712502562         
1981.063344684702         333.2379469903298         
1984.25325975574          340.012109440616          
1987.436964958582         346.9574111831962         
1990.62865370906          354.0409497561116         
2000.62865370906          16.19150825979703         
2010.273137115768         36.00205852432677         
2018.080013307412         50.15230886106814         
2025.831067409115         62.3983174183393          
2032.44790550067          71.52242154757519         
2040.515471536335         81.19281279649181         
